p_Name of elected MP,h_Name,p_Birthdate,h_Date of Birth,h_State Name,p_State,p_Twitter,h_Constituency from which I am elected,p_Constituency,h_Party Name,p_Gender,p_Total Assets,h_Social and Cultural Activities,h_Educational Qualifications,h_Countries Visited,h_Permanent Address,p_Positions Held,h_Sports and Clubs,h_Birth Place,h_Profession,p_Income,h_Positions Held,p_Party affiliation,h_Special Interests
Jaywant Gangaram Awale,Shri Jayawant Gangaram Awale,7/6/40,6-Jul-40,Maharashtra,Maharashtra,No,Latur,Latur,Indian National Congress,M,"3,04,85,766","Welfare programme for the upliftment of Secheduled Castes, Secheduled Tribes  and deprived sections of the society alongwith generating awareness  of Indian culture of traditions",Higher Secondary,,"Station Road, W. No. 21,  Near Sanjay Faundri,  Ganga Nagar, Ichal Karanji, Distt. KolhapurMaharashtra - 416116",,Football & volleyball,"Ichalkaranji, Distt. Kolhapur (Maharashtra)",,"3,04,85,766 3",,Indian National Congress,"Sports, theatre, reading, etc."
Haribhai Chaudhary,,20/07/1954,,,Gujarat,https://twitter.com/Haribhaip,,Banaskantha,,M,"2,09,45,639",,,,,,,,,"2,09,45,639 2",,Bharatiya Janata Party,
Priya Sunil Dutt,Smt. Priya Sunil Dutt,#N/A,28-Aug-66,Maharashtra,Maharashtra,https://twitter.com/PriyaDutt_MP,Mumbai-North-Central,Mumbai North Central,Indian National Congress,F,"34,95,76,448","<I>Trustee,</I> Spastic Society of India; associated with Public Health Organisation to generate awareness on AIDS and drug abuse and to  promote education; Nargis Dutt Memorial Charitable Trust: To raise funds and provide advanced medical equipment to hospitals in the country; Lina Ashar Foundation; Advisory Board-Wockhardt Foundation: Programmes carried out need based for the community","B.A. (Sociology) Post-Graduate Diploma (TV Production)  ducated at Sophia College, Bombay University, Mumbai, Maharashtra and  Centre for Media Arts, New York City, U.S.A.",Widely travelled,"Imperial Heights, 1102,  10th Floor, Nargis Dutt Road,  Palli Hill, Bandra,Mumbai - 50,  MaharashtraTel. (022) 26004583 Fax. (022) 26005823",,Scuba diving and other water sports,Mumbai (Maharashtra),,"34,95,76,448",,Indian National Congress,"Travelling, reading and research"
Mohammed Azharuddin,Shri Mohammed Azharuddin,2/8/63,8-Feb-63,Uttar Pradesh,Uttar Pradesh,https://twitter.com/mpazhar,Moradabad,Moradabad,Indian National Congress,M,"2,52,33,948",,"B.Com.   Educated at Nizam College,Osmania University, Hyderabad, Andhra Pradesh",Widely travelled,"House No. 6-3-252/1/6, Flat No. 501 Nest Apartments, Eram ManzilHyderabad - 500 082, Andhra PradeshTels. (040) 23398240",,Playing cricket,Hyderabad (Andhra Pradesh),,"2,52,33,948 2",,Indian National Congress,"Wildlife, sports and  travelling"
Mohinder Singh Kaypee,Shri Mohinder Singh Kaypee,11/7/56,7-Nov-56,Punjab,Punjab,https://twitter.com/MohinderSKaypee,Jalandhar,Jalandhar,Indian National Congress,M,"4,81,96,591",,"B.A., L.L.B. Educated at Punjab University, Chandigarh, Punjab","Belgium, Canada, France, Germany, Holland, Malaysia, Pakistan, Singapore, Thailand, U.A.E., U.K. and U.S.A.","1, Mithapur Road, Model Town,Jalandhar, PunjabTel.9814209688 (M)",,"President, Sports Club, Jalandhar, Punjab","Mithapur, Distt. Jalandhar (Punjab)",,"4,81,96,591 4",,Indian National Congress,Sports and literature
Radhey Mohan Singh,Shri Radhe Mohan Singh,4/3/67,3-Apr-67,Uttar Pradesh,Uttar Pradesh,No,Ghazipur,Ghazipur,Samajwadi Party,M,"2,20,62,609","Currently running a Hockey Academy in the name of his late father in the mini stadium within the premises of his Mahavidyalaya (College).  Children from Ghazipur district and nearby area get training in this academy.  So far, nearly 500 children have received training from this academy and  out of them 250 have got jobs in Army, Police force, etc. Presently about 200 boys and girls are getting hockey training in the academy.  The training is  given absolutely free of cost alongwith nutritious food  and sports kit; also providing wrestling  training free of cost and this wrestling academy has produced numerous good wrestlers and they are inducted in Govt. jobs in Indian Railways, Army and Police force","B.A. (Hons.), History Educated at Lalit Narayan Mithila University, Darbhanga, Bihar",,"Village+P.O. - Karampur, P.S. - Khanpur,Distt. - Ghazipur, Uttar PradeshTel. 09918400415 (M)",,,"Vill. Karampur, Distt. Ghazipur ( Uttar Pradesh)",,"2,20,62,609 2",,Samajwadi Party,
Badruddin Ajmal,Maulana Badruddin Ajmal,2/12/50,12-Feb-50,Assam,Assam,No,Dhubri,Dhubri,All India United Democratic Front,M,"30,35,21,001","<I>Founder President</I> of reputed NGO Markazul Maarif, Hojai, Assam which runs schools, orphanages and welfare projects; <I>President,</I> All Assam Non-Govt. Madrassa Board; <I>Pro-vice-chancellor,</I> Darul Uloom, Banskandi (Assam); <I>Managing Trustee</I> (i)HAMM Hospital & Research Centre, Assam; (ii)Ajmal Foundation; (iii) Al-Salam Charitable Hospital Goalpara; and (iv)AWHAQ Hospital Moirabari","Fazil-e-Deoband (Masters in Islamic Theology and Arabic) Educated at Darul Uloom, Deoband, Uttar Pradesh",Widely travelled,"(i) Ajmal House, Gopal Nagar, HojaiDistt. Nagaon - 782 435, AssamTelefax. (03674)  252218",,"Member, Skywards","Gopal Nagar, Nagaon (Assam)",Industrialist                                               Social Worker                                               Educationist                                                Philanthropist,"30,35,21,001 3",,Assam United Democratic Front,"Modern education and skill training for Madrassa graduates; runs Markarul Maarif Eudcation and Research Centre, Mumbai imparting English language and research skills to Madrassa students; facilitating women education through establishment of Mariyam Ajmal Womens College of science and technology, Hojai, Assam."
Naramalli Sivaprasad,Dr. Naramalli Sivaprasad,7/11/51,11-Jul-51,Andhra Pradesh,Andhra Pradesh,No,Chittoor,Chittoor,Telugu Desam Party,M,"60,11,000","Best Actor(Villain)awarded for the movie ""Danga"" 2005; and Incharge for Cultural programme of A.P. Assembly","M.B.B.S.   Educated at S.V. Medical College, Tirupati, Chittoor, Andhra Pradesh",,"502, My Home Apartments, 1017, N.G.O. Colony, K.T. RoadTirupati, Chittor Distt.   Andhra PradeshTel. 09441886285, 09908022285 (M)",,,Vill. Pultipalli Distt. Chittoor (Andhra Pradesh),,"60,11,000 60 L",,Telugu Desam Party,Public awareness programmes
Siddhanta Mahapatra,Shri Sidhant Mohapatra,#N/A,4-May-66,Orissa,Odisha,No,Berhampur,Berhampur,Biju Janata Dal,M,"48,00,264",Bring socio-economic progress in the State; make people more literate; tender medical facility to the people;abundant water supply for domestic and use in irrigation; and create resource of income for many,M.B.A. Educated at Institute of Marketing and Management,,"281, Kharvela Nagar, Unit-III,Bhubaneswar - 751001, OrissaTels. (0674) 2390650, 09437010234 (M)",,"Cricket (in Ranjit Trophy Squad consecutively 4 years), represented many times in National Handball Championship for the State,","Berhampur, Distt. Ganjam (Orissa)",,"48,00,264 48 L",,Biju Janata Dal,
Feroze Varun Gandhi,Shri Feroze Varun Gandhi,#N/A,13-Mar-80,Uttar Pradesh,Uttar Pradesh,https://twitter.com/varungandhi80,Pilibhit,Pilibhit,Bharatiya Janata Party,M,"4,92,67,810",Sponsored several charitable endeavours to promote physical aid for the handicapped and financial aid for widows and the under privileged.,"B.Sc.(Hons) Economics  Educated at London School of Economics (LSE), London University, U.K.",Widely travelled,"14, Ashoka RoadNew Delhi - 110 001Tels. (011) 23359241, 23357088 9868180604(M)",,Tennis,New Delhi,,"4,92,67,810 4",,Bharatiya Janata Party,"Poetry, modern Indian art, Philosophy, Economic theory, world cinema & Jazz."
Vijaya Shanthi M,Smt. M. Vijaya Shanthi,24/6/1966,24-Jun-66,Andhra Pradesh,Andhra Pradesh,No,Medak,Medak,Telangana Rashtra Samithi,F,"27,10,66,905",,S.S.C.,"European Countries, Malaysia, Newzealand, Singapore and U.S.A.","Plot No. 2B, MLA`s Colony, Road No. 12, Banjara Hills,Hyderabad Andhra Pradesh - 500034Tels. (040) 23322888, 09212219137 (M) Fax. (040) 23324445",,,Madras (Tamil Nadu),,"27,10,66,905 2",,Telangana Rashtra Samithi,
Pawan Kumar Bansal,Shri Pawan Kumar Bansal,16/07/1948,16-Jul-48,Chandigarh,Chandigarh,https://twitter.com/MPPawanBansal,Chandigarh,Chandigarh,Indian National Congress,M,"3,87,29,400","Organised and participated in youth festivals, Inter-State Youth camps, N.S.S. camps, medical-aid camps in rural areas, legal-aid programmes for the poor and blood donation camps; undertook padayatras in Punjab for communal harmony; organised Rajiv Gandhi Child-to-Child National Integration camps","B.Sc., LL.B.  Educated at Yadavindra Public School, Patiala; Government College, Chandigarh; and                                          Department of Law, Panjab University, Chandigarh","Widely travelled; <I>Member,</I> Indian Parliamentary Delegation to (i) Zimbabwe, 1986; (ii) 83rd Inter Parliamentary Conference; Nicosia, Cyprus 1990; (iii) U.N. General Assembly, 1994; (iv) 94th Inter-Parliamentary Conference (IPC), Bucharest, Romania, 1995; (v) Wilton Park (UK) Conference on Good Governance, 2002; (vi) Parliamentary Delegation to UNCTAD - XI Sao Paulo (Brazil), 2004; (vii) First All Party M.P`s Goodwill Non-official Delegation to Pakistan 2003; (viii) Workshop on WTO (Singapore), 2004; (ix) 112th IPU at Manila, 2005 (x) Goodwill Delegation to US in September, 2008. Leader, Indian Delegation to (i) Commonwealth Parliamentary Seminar, Malaysia, 1992; (ii) Third U.N. Conference against Racism, Racial Discrimination, Xenophobia and related Intolerance held at Durban, South Africa, 2001; (iii) SAARC Finance Ministers` Conference held in Islamabad, Pakistan, 2006; (iv) 2nd China-India Financial conference, Shanghai, May, 2008; (v) Regional Conference on Deepening Democracy held at Paro, Bhutan, 2010; (vi) Parliamentary Delegation to Istanbul, Athens & Egypt in Januaruy, 2010.","64, Sector 28-A,Chandigarh- 160 002Tel. (0172) 2657565   Fax. (0172)  2637618",,,"Sunam, Distt. Sangrur (Punjab)",,"3,87,29,400 3",,Indian National Congress,"Education, environment and electoral reforms"
Rakesh Pandey,Shri Rakesh Pandey,#N/A,14-Aug-52,Uttar Pradesh,Uttar Pradesh,No,Ambedkar Nagar,Ambedkar Nagar,Bahujan Samaj Party,M,"16,40,08,904",,Matriculate,"Hong Kong, Japan, Taiwan and Thailand","Vill. Mohasinpur Mansoorpur, P.O. Akbarpur, Ambedkar Nagar, Uttar PradeshTels. (05271) 245309, 244171",,,"Kotwa Mohamadpur, Ambedkar Nagar (Uttar Pradesh)",,"16,40,08,904",,Bahujan Samaj Party,Wrestling and social service.
Mohammad Asrarul Haque,Maulana Asrarul Haque Mohammad,#N/A,15-Feb-42,Bihar,Bihar,No,Kishanganj,Kishanganj,Indian National Congress,M,"39,96,860","Set up 163 primary educational institutions and also established  Milli girls schools in Kishanganj, Bihar which distributed relief material among the victims of Tsunami and  flood in Bihar","Fazil (M.A.) Educated at Darul Uloom, Deoband,Uttar Pradesh","Bahrain, Botswana, , Iraq, Kingdom of Saudi Arabia, Malawi, South Africa, U.A.E., U.K., West Indies and Zambia.","Village - Tarabari, P.O. - Tarabari Chowk, Block - Dighalbank,Distt. - Kishanganj, BiharTelefax. (06459) 237761",,,"Vill. Tarabari, Distt. Kishanganj (Bihar)",,"39,96,860 39 L",,Indian National Congress,"Edcuation, social work and writing"
Prataprao Ganpatrao Jadhav,Shri Prataprao Ganpatrao Jadhav,25/11/1960,25-Nov-60,Maharashtra,Maharashtra,No,Buldhana,Buldhana,Shiv Sena,M,"1,20,52,820","(i) Health, blood donation, yoga, career guidance camps and agricultural exhibitions; and (ii) Sponsoring sports like Kabaddi, Kho-kho, Volleyball and cricket, etc.","B.A. (II year)   Educated at Shri Shivaji College, Chikhil, Buldhana, Maharashtra","France, Germany, Holland, The Netherlands, Switzerland and U.K.","""Matoshri"". Shivaji Nagar, Mehkar,Distt. Buldhana,  MaharashtraTels. (07268) 225277, 225377, 244780 09423145111",,Kabaddi and cricket,"Mehkar, Distt. Buldhana (Maharashtra)",,"1,20,52,820 1",,Shivsena,(i)Provided education facilities  at the grassroot level specially for girls; (ii) Implementation of economic welfare policies for farmers; and (iii) social service
Asaduddin Owaisi,Shri Asaduddin Owaisi,13/05/1969,13-May-69,Andhra Pradesh,Andhra Pradesh,https://twitter.com/asadowaisi,Hyderabad,Hyderabad,All India Majlis-E-Ittehadul Muslimeen,M,"93,02,233",,"B.A., LL.B (London), Bar-At-Law (Lincolns Inn)  Educated at    Nizam College, Hyderabad, Andhra Pradesh and U.K","Attended and participated in Commonwealth Parliamentary Conference in Manchester, U.K., 1996","36-149, Hyderguda,Hyderabad - 500 029 Andhra PradeshTels. (040) 2322278,  09848013569 (M)",,,Hyderabad (Andhra Pradesh),,"93,02,233 93 L",,All India Majlis-E-Ittehadul Muslimeen,Reading books on history and religion
Gurudas Dasgupta,Shri Gurudas Dasgupta,11/3/36,3-Nov-36,West Bengal,West Bengal,No,Ghatal,Ghatal,Communist Party of India,M,"36,54,001",,"M. Com Educated at Asutosh College and  University College of Arts & Commerce, Calcutta University, Kolkata,  West Bengal","Finland, France, Hungary, Italy, South Africa, U.K. and U.S.S.R.","78,Chetla Road,Kolkata-700 027  West BengalTels. (033) 24793434, 24796565",,"Member, Cricket Association of Bengal",Barisal (Now in Bangladesh),,"36,54,001 36 L",,Communist Party of India,Cricket and Rabindra Sangeet
Dimple Yadav,Smt. Dimple Yadav,15/01/1978,-NA-,Uttar Pradesh,Uttar Pradesh,No,Kannauj,Kannauj,Samajwadi Party,F,"4,85,82,202",,,,"Village - Saifai, P.O. - Heywara,Distt. - Etawah- 206301 Uttar Pradesh",,,,,"4,85,82,202 4",,Samajwadi Party,
Kadir Rana,Shri Kadir Rana,#N/A,9-Nov-61,Uttar Pradesh,Uttar Pradesh,No,Muzaffarnagar,Muzaffarnagar,Bahujan Samaj Party,M,"5,84,51,906",Social work for human welfare,Under Matriculate,,"786/1, New Rana House, Meerut Road,Muzaffarnagar, Uttar PradeshTels. 9837095671, 9837000022 (M)",,Wrestling,"Vill. Sujroo, Dist. Muzaffarnagar ( Uttar Pradesh)",,"5,84,51,906 5",,Bahujan Samaj Party,Politics
P. Viswanathan,Shri Viswanathan Perumal,20/05/1964,20-May-64,Tamil Nadu,Tamil Nadu,No,Kancheepuram,Kancheepuram,Indian National Congress,M,"56,85,495","Organised number of blood donation camps, welfare and training programmes for students.","B.A. (Economics)   Educated at Periyar Arts College, Cuddalore, Madras Univeristy, Tamil Nadu",,"F-9, Varsha Block, Vasudhara Residential Enclave,Andalpuram, Mudurai - 625 003 Tamil NaduTels. (0452) 2374666 09600214442,09994378942 (M) Fax. (0452) 2374666",,University kabaddi player,Cuddalore (Tamil Nadu),,"56,85,495 56 L",,Indian National Congress,
B. Y. Raghavendra,Shri Raghavendra Yeddyurappa,16/08/1973,16-Aug-73,Karnataka,Karnataka,https://twitter.com/raghuby,Shimoga,Shimoga,Bharatiya Janata Party,M,"6,68,73,401",Promoter of cultural activities in Shivamogga district; and   running a cultural organisation `Sourabha`,"B.B.M. Educated at A.T.N.C.C.,Shivamogga,Karnataka",Widelty travelled,"Mythri Nivasa, Malerakeri,Shikaripura, KarnatakaTel. (08187) 222256, (08182) 255427, 9731853100 (M) Fax. (08187) 222935",,Shuttle cock-Badminton,"Shikaripura, Distt. - Shivamogga (Karnataka)",,"6,68,73,401 6",,Bharatiya Janata Party,
Ramesh Rathod,Shri Ramesh Rathod,20/10/1966,20-Oct-66,Andhra Pradesh,Andhra Pradesh,No,Adilabad,Adilabad,Telugu Desam Party,M,"34,10,000",,"B.A. Educated at Govt. Degree College, Adilabad, Andhra Pradesh",,"Sevadas Nagar, Utnoor,Distt. Adilabad Andhra PradeshTels. (08731) 274188 9440435537(M) Fax. (08731) 274188","1999-2004 : Member, Andhra Pradesh State Legislative Assembly; 2006-09 : Chairman, Zilla Parishad, Adilabad ; 2009 : Elected to 15th Lok Sabha ; 31 Aug. 2009 : Member, Committee on Coal and Steel ; 23 Sep. 2009 : Member, Committee on Papers Laid on the Table",,"Tadihaddnur, Distt. Adilabad (Andhra Pradesh)",,"34,10,000 34 L",,Telugu Desam Party,Social service
Kuldeep Bishnoi,Shri Kuldeep Bishnoi,22/09/1968,22-Sep-68,Haryana,Haryana,https://twitter.com/bishnoikuldeep,Hisar,Hisar,Haryana Janhit Congress (BL),M,"6,51,13,381",Associated with various social organisations,"B.A.   Educated at Punjab University, Chandigarh",Widely travelled,"108, Sector - 15, Hisar, HaryanaTels. (01662) 244568  9871877777 (M)",,"Cricket; representing Bishnoi Cricket Club Team for the last 20 years; likes playing soccer, volleyball and snookers","Mandi Adampur, Distt. Hisar  (Haryana)",Social Worker                                               Businessperson                                              Industrialist                                               Agriculturist,"6,51,13,381 6",,Haryana Janhit Congress (BL),"Making meaningful contributions to (i)  the ingrediants of democracy whether they be political, social or economic; (ii) upliftment of the rural and under developed urban areas by organising education and health, infrastructure and small scale industries ; (iii) spreading  the awareness amongst all concerned regarding importance of environmental issues"
Suvendu Adhikari,Shri Suvendu Adhikari,15/12/1970,15-Dec-70,West Bengal,West Bengal,https://twitter.com/Suvenduadhikari,Tamluk,Tamluk,All India Trinamool Congress,M,"47,51,934",,B.A.(Hons.) Educated at Contai P. K. College,,"Vill. Karkulli, P.O. Contai,Distt. Purba Medinipur, West BengalTels. (03220) 289020, 259500 Fax. (03220) 255577",,"Great interest in cricket, football and direct involvement in football organisation at District and Sub-Divisional level along with representation in various clubs","Karkuli, Distt. Purba Medinipur (West Bengal)",,"47,51,934 47 L",,All India Trinamool Congress,Poverty alleviation programme (rural and urban).
Mullappally Ramachandran,Shri Ramachandran Mullappally,#N/A,7-Nov-44,Kerala,Kerala,No,Vadakara,Vadakara,Indian National Congress,M,"33,16,300","President, Youngsters Association, Chombala; Organized 3 days Seminar on development of Vatakara Parliament Constituency ""Vision Vatakara - 2025""; Organizing 47 days - ""Kadathanadu Mahotsavam"" - a cultural Bonanza","M.A., LL.B.  Educated at Government College,Madappally and Law College, Calicut,  Kerala University","Cuba, Geneva, Indonesia, and former U.S.S.R.","""Ravi"", P.O. Chombala,Distt. Calicut - 673308  KeralaTel. (0496) 2502345",,,"Chombala, Distt. Calicut (Kerala)",,"33,16,300 33 L",,Indian National Congress,"Protection and preservation of environment and ecology, Upliftment of weaker sections of society"
Ganesh Singh,Shri Ganesh Singh,7/2/62,2-Jul-62,Madhya Pradesh,Madhya Pradesh,No,Satna,Satna,Bharatiya Janata Party,M,"73,72,032",Social work,"M.A., LL.B. Educated at Awadesh Pratap Singh University,  Rewa and Law College, Satna, Madhya Pradesh","Sri Lanka, Thailand","Friends Colony, Near ITISatna, Madhya PradeshTel. (07672) 257999",,"Physical exercises, Yoga, Badminton, Volleyball","Khamharia, Distt.  Satna (Madhya Pradesh)",,"73,72,032 73 L",,Bharatiya Janata Party,Studying
Kavuri Sambasiva Rao,Dr. Kavuri Samba Siva Rao,10/2/43,2-Oct-43,Andhra Pradesh,Andhra Pradesh,No,Eluru,Eluru,Indian National Congress,M,"12,27,33,111",Welfare of the poor; provision of drinking water facilities by digging borewell in villages and construction of community halls in slum areas; donated a building to Andhra Mahila Sabha for a Cardiac Cathedrisation Unit; running charitable institutions for providing good education to the rural poor and for imparting professional skills to the unemployed youth;,"B.E. Educated at Regional Engineering College, Warangal,  Andhra Pradesh","Widely travelled (40 countries); (i) Indian Delegation to U.N. General Assembly, 1987;(ii) Delegation of Friends of Soviet Union, 1987;and (iii) A.I.C.C. Delegation, China, 1991; <I>Leader,</I> Delegation of CIDC to China, 2007;<I>President, </I> Delegation of Network of Parliamentarians of World Bank (India Group) Conference to Paris, 2008;<I>Member</I> (i) Delegation of Asian Forum of Parliamentarians on Population and Development, 2005; (ii) Speaker`s Delegation to China, 2006; (iii) Delegation of IPC to Vietnam, 2006; (iv) Delegation of Indo-Korean Frendship Association of Parliamentarians to DPRK, 2007; (v)Delegation of Network of Parliamentarians  of World Bank to South Africa, 2007; (vi)Delegation of Parliamentrians for Global Action to Colombo, Sri Lanka, 2007; (vii) Delegation of Parliamentarians for Global Action to Abuja, Nigeria, 2007;  (viii) India-Iran Parliamentary Friendship Group;  (ix)India-Iraq Parliamentary Friendship Group; (x) Parliamentarian meet on Climate Change at Buenos Aires, Argentina; (xi) Washington Energy Summit, 2009; (xii) Washington India-USA-Germany summit, 2009","(i) Matruratna, 6-3-251/7/3 A&B, Balapura, Road No. 1, Banjara Hills, Hyderabad - 500 482 Andhra PradeshTels. (040) 23392280, 23398402",,,"Dosapadu, Distt. Krishna (Andhra Pradesh)",Agriculturist                                               Engineer                                                    Industrialist                                               Political and Social Worker,"12,27,33,111 1",,Indian National Congress,
R. K. Singh Patel,Shri R.K. Singh Patel,7/3/59,3-Jul-59,Uttar Pradesh,Uttar Pradesh,https://twitter.com/rksinghpatel,Banda,Banda,Samajwadi Party,M,"3,41,07,955","Contributing alongwith all family members in State and National Level social and cultural programmes particularly held in the Constituency; and organising social and cultural events to attract and encourage the poor, minority, backward and deprived classes of all castes to come forward and perform at social level","B.A. Educated at University of Allahabad, Uttar Pradesh",,"Baldav Ganj, Kashai Road, Karvi, Chitrakoot, Uttar PradeshTels (05198) 236100, 09415143993 (M)",,,"Balapur, Khalsa, Chitrakoot (Uttar Pradesh)",,"3,41,07,955 3",,Samajwadi Party,"Badminton, volleyball, kabaddi and carrom"
Anup Kumar Saha,Dr. Anup Kumar Saha,23/01/1956,23-Jan-56,West Bengal,West Bengal,No,Bardhaman Purba,Bardhaman Purba,Communist Party of India (Marxist),M,"86,22,944","Associated with many social organisations to promote health movements and rural development;associated with ""ALOBATAS"" - a cultural organisation of Burdwan for promoting literature and performing arts.","M.B.B.S., M.S.(Surgery), Ph.D. (Pursuing) Educated at Burdwan Medical College and University College of Medicine, Calcutta, West Bengal","Bhutan, China, Nepal, Saudi Arabia, Thailand","21, J.N. Roy Road, Khosbagan, Burdwan - 713 101, West Bengal Tels. (0342) 2568620, 09434003337(M)",,"Football, volleyball, table-tennis, basketball, swimming and athelethics.","Harda, Distt. Midnapur (W), West Bengal",Medical Practitioner                                        General and Laparoscopic Surgeon                            Educationist                                                Social Worker,"86,22,944",,Communist Party of India (Marxist),"Keenly interested in Naitonal Health Policy, Rural  Development and arts, music, literature, gardening, cooking, travelling and adventure to know the people and culture of the world."
Avtar Singh Bhadana,Shri Avtar Singh Bhadana,17/12/1957,17-Dec-57,Haryana,Haryana,No,Faridabad,Faridabad,Indian National Congress,M,"4,05,73,585",Actively pursuing welfare programmes pertaining to the upliftment of the backward communities; patronising groups and cultural societies; spreading awareness on the historically rich and diverse cultural heritage of India; and extending material and human aid to documenting  unpublished works of art of reputed Indian scholars,Under Matriculate,Widely travelled,"114, Sector 16A,Faridabad, HaryanaTel. (0129) 2286130",,"Athletics, badminton and wrestling; also promoting the emergence of amateur and professional athletes and wrestlers ","Anangpur, Distt. Faridabad (Haryana)",,"4,05,73,585 4",,Indian National Congress,Agriculture and Floriculture related work
Adagur H. Vishwanath,Shri Adagooru Huchegowda Vishwanath,15/12/1949,15-Dec-49,Karnataka,Karnataka,No,Mysore,Mysore,Indian National Congress,M,"2,82,91,172","Initiated Lake Development Authority - to protect the lakes of Bangalore from land grabbers, conserving drinking water; launched many programmes (i) Democratization of school education; (ii) Samudayadatta Shale (school Adoption Programme); (iii) Chaitanya (Refresher programme for the teachers); (iv) Akshara Dasoha (mid day meal programme); (v) Mahithi Sindhu (Computer literacy programme for high school students); (vi)Shikshana Samvada (an interaction programme on air); (vii) Chinnara Angala (a Bridge programme to identify and stimulate the school dropouts and helping them to come back to schools); (viii)Group insurance programme for children; (ix)Declared child as the property of the state; (x)School development and monitoring committee elected by the parents and local people representatives of the neighbourhood; and (xi) free education to all girl students from first to tenth standard in all respect; launched many programmes to rebuild coopertives sector, major programme ""Yashaswini"" a health insurance scheme which enabled our farmers to get world class health care","B.Sc., LL.B.   Educated at Mysore University and Sharada Vilasa Law College, Mysore, Karnataka",European Countries,"Govt. House Premises, Near Rural Bus Stand,Nazarbad, Mysore City - 10 KarnatakaTel. (0821) 2445656,  09901172999 (M)   Fax. (0821) 2442266",,"Organised sports meets across Karnataka to identify sports talent, who belongs to rural Karnataka, who were oppressed and were deprived of opportunities; started a special sports school for the tribal students and encourage them to exhibit their talent in the mainstream; organised third National Sports Festival in Karnataka with the assistance of Union Government and developed many  stadiums and encouraged the local talent to compete at National level.","K. R. Nagara, Distt. Mysore (Karnataka)",,"2,82,91,172 2",,Indian National Congress,Educate people; and enthuse and involve the community to participate in the effective implementation of populist programmes of the Government
Sushila Saroj,Smt. Sushila Saroj,4/1/51,1-Apr-51,Uttar Pradesh,Uttar Pradesh,No,Mohanlalganj,Mohanlalganj,Samajwadi Party,F,"2,86,80,230","<I>Founder Chairman,</I> Virangana Udadevi Parsi Smarak Sangathan;<I>Founder,</I> Parsi Trust; spread awarness among Parsi Comminuty about their social, economic and educational upliftment by organising camps etc.","M.A., B.Ed., LL.B.   Educated at  Gorakhpur, Rohilkhand, Kanpur and Lucknow Universities, Uttar Pradesh",,"A-246,  Indira Nagar,Lucknow, Uttar PradeshTel. (0522) 352246 09415433197 (M)",,,Gorakhpur (Uttar Pradesh),,"2,86,80,230 2",,Samajwadi Party,Welfare of scheduled castes and scheduled tribes and other backward classes
Haji Nurul Islam,Shri Sk. Nurul Islam,11/11/63,11-Nov-63,West Bengal,West Bengal,No,Basirhat,Basirhat,All India Trinamool Congress,M,"11,55,500",Social service,Under Matric (ALIM) Educated at Khorki Sr. Madrasa,Saudi Arab,"Vill. & P.O. Bahera, P.S. BarasatDistt. North 24 Pargana, West BengalTels. 0964706073 (M)",,,"Bahera, 24 PGS (N) (West Bengal)",,"11,55,500 11 L",,All India Trinamool Congress,Development
Subhash Bapurao Wankhede,Shri Subhash Bapurao Wankhede,1/4/63,4-Jan-63,Maharashtra,Maharashtra,No,Hingoli,Hingoli,Shiv Sena,M,"34,88,000",,"Matriculate  Educated at Zilla Parishad School, Hadgaon, Maharashtra",,"`Matoshri Niwas`, Ward No. 6,  At & PO- Lyahari, Hadgaon,Distt. Nanded MaharashtraTels. (02468) 222688, 223688  09422871855 (M)",,,"Lyahari, Nanded (Maharashtra)",,"34,88,000 34 L",,Shivsena,
M. I. Shanavas,Shri M. I. Shanavas,22/09/1951,22-Sep-51,Kerala,Kerala,No,Wayanad,Wayanad,Indian National Congress,M,"2,39,04,424","<I>President</I>,Calicut University Students Union; Involved in the student activities since 1969and youth activities - State Office bearer, (i) KSU and Youth Congress till 1983; (ii) Kerala Pradesh Congress Committee continuously 1983 onwards","M.A.(English),LL.B Educated at Farook College, Kozhikkode and Law College, Ernakulam, Kerala","Germany, Kuwait, Oman, Russia, Saudi Arabia, U.A.E and U.K.","Noorjehan Manzil, Ernakulam North,Cochin -682 018, Kerala.Tels. (0484) 2391130 09447122311, 9842391130, 09846122411 (M)",,,"Kottayam, Distt. Kottayam (Kerala)",,"2,39,04,424 2",,Indian National Congress,Reading
